shared_column,table_count,tables
user_id,90,campaigns|influencers|ingwanggi_brand_report_access|ingwanggi_creator_listup_filters|ingwanggi_partner_creator_bookmark_folder|ingwanggi_related_account_access|ingwanggi_similar_creator_access|instagram_creator_ranking_llm_usage_log|instagram_creator_ranking_ticket_usages|instagram_post|instagram_user|instagram_user_analysis|instagram_user_analysis_categories|instagram_user_analysis_mood|instagram_user_analysis_topic|instagram_user_analysis_v2|instagram_user_analysis_v2_layer1_user_type|instagram_user_analysis_v2_layer2_content_function|instagram_user_analysis_v2_layer3_topic|instagram_user_analysis_v2_layer4_mood|instagram_user_analysis_v2_layer5_persona|instagram_user_analysis_v2_layer6_audience|instagram_user_analysis_v2_layer6_target_country|instagram_user_benchmark|instagram_user_brand_safety|instagram_user_stat|instagram_user_stat_trend|instagram_user_tag|saved_youtuber_brand_folders|temp_instagram_crawl_channel|ugwanggi_action_tracker|ugwanggi_ai_chat_history|ugwanggi_ai_image_history|ugwanggi_ai_survey|ugwanggi_amore_campaign|ugwanggi_archive|ugwanggi_archive_group|ugwanggi_brand_report_access|ugwanggi_brand_saved|ugwanggi_bundle|ugwanggi_cancel_survey|ugwanggi_channel_demography_info_access|ugwanggi_channel_survey|ugwanggi_creator_camp_list|ugwanggi_creator_listup_ai_chat|ugwanggi_custom_coupon|ugwanggi_custom_payment|ugwanggi_display_ad_campaign|ugwanggi_docs_history|ugwanggi_express_adslot_email_read_state|ugwanggi_express_adslot_price_view_state|ugwanggi_express_adslot_user_added_channels|ugwanggi_express_applications|ugwanggi_express_applications_admin_check|ugwanggi_express_chat_file_upload_quota|ugwanggi_express_chat_room_member|ugwanggi_express_email_message|ugwanggi_express_email_message_admin_check|ugwanggi_express_email_template|ugwanggi_express_oauth_state_session|ugwanggi_express_oauth_token|ugwanggi_express_studio_members|ugwanggi_express_users_brand|ugwanggi_generated_blog|ugwanggi_ig_creator_saved|ugwanggi_keyword_chat_history|ugwanggi_keyword_request_da|ugwanggi_keywords_history|ugwanggi_linked_user|ugwanggi_monitoring_campaign|ugwanggi_page_usage_duration|ugwanggi_partner_creator_bookmark_folder|ugwanggi_partner_datalab|ugwanggi_partner_datalab_message|ugwanggi_partner_team_link|ugwanggi_payment_card|ugwanggi_payment_history|ugwanggi_pricing_survey|ugwanggi_report_history|ugwanggi_subscription|ugwanggi_survey|ugwanggi_tracked_ad_comment|ugwanggi_trial_survey|ugwanggi_user_creator_db_request|ugwanggi_user_search_history|ugwanggi_youtube_searched_channel|ugwanggi_youtube_searched_video|ugwanggi_youtuber_saved|users|users_ugwanggi
channel_id,51,Category_Master|YT_brand_bumper_cost_per_day|YT_bumper_ad|YT_bumper_ad_analized|YT_bumper_ad_global|YT_bumper_cost_per_day|YT_bumper_cost_per_week|YT_bumper_on_off|YT_bumper_video_trend|YT_comment|YT_comment_analysis|YT_country_info|YT_en_video_lists|YT_sub_view_trend|YT_tag_centrality|YT_ugwanggi_rising_star|YT_ugwanggi_shorts_trending|YT_ugwanggi_video_trending|YT_video_content_class_track|YT_video_lists|YT_video_trending|YT_video_view_trend|brand|brand_logo|demography|foreign_channel_lists|oliveyoung_video_data|oliveyoung_video_lists|subs_milestone|temp_ugwanggi_bumper_da|temp_ugwanggi_campaign_da|test_kakao_video_monitoring|ugwanggi_archive|ugwanggi_channel_demography_info_access|ugwanggi_channel_survey|ugwanggi_creator_listup|ugwanggi_display_ad|ugwanggi_express_adslot_user_added_channels|ugwanggi_express_adslots|ugwanggi_express_studio_channels|ugwanggi_keywords_result|ugwanggi_monitoring_result|ugwanggi_partner_creator_bookmark|ugwanggi_partner_datalab|ugwanggi_search_history|ugwanggi_youtube_searched_channel|ugwanggi_youtuber_saved|video_title|youtuber_category_class|youtuber_info|youtuber_stats
video_id,48,Category_Master|YT_brand_video_trend|YT_bumper_ad|YT_bumper_ad_analized|YT_bumper_ad_global|YT_bumper_crawl_video_list|YT_bumper_crawl_waiting_list|YT_bumper_on_off|YT_bumper_scene|YT_bumper_video_trend|YT_comment|YT_comment_analysis|YT_en_video_lists|YT_product_video|YT_shopping_top_product_video|YT_ugwanggi_rising_star|YT_ugwanggi_shorts_trending|YT_ugwanggi_trending_keyword_video_ids|YT_ugwanggi_video_trending|YT_video_content_class_track|YT_video_crawling_waiting|YT_video_format|YT_video_lists|YT_video_lists_detail|YT_video_trending|YT_video_trending_duration|YT_video_trending_sub|YT_video_view_trend|brand|foreign_video_lists|oliveyoung_product_video|oliveyoung_video_data|oliveyoung_video_lists|test_kakao_video_monitoring|tiktok_video|tiktok_video_stat|ugwanggi_ai_blog_video|ugwanggi_creator_listup|ugwanggi_kakao_analysis|ugwanggi_kakao_video_split|ugwanggi_keywords_result|ugwanggi_monitoring_result|ugwanggi_search_history|ugwanggi_tracked_ad|ugwanggi_tracked_ad_comment|ugwanggi_tracked_ad_stat|ugwanggi_youtube_searched_video|video_title
product_id,14,YT_product_info|YT_product_video|YT_shopping_top_product|instagram_oliveyoung_product_post|oliveyoung_product_agg_rank_daily|oliveyoung_product_info|oliveyoung_product_review|oliveyoung_product_score|oliveyoung_product_video|oliveyoung_product_views2|oliveyoung_realtime_views|oliveyoung_trend_m|oliveyoung_trend_m_rank|oliveyoung_youtube_product_agg_daily
brand_logo_id,14,brand_logo|brand_logo_map|ingwanggi_brand_report_access|instagram_brand|instagram_ppl_brand|oliveyoung_brand|ugwanggi_brand_report_access|ugwanggi_express_applications|ugwanggi_express_brand_campaigns|ugwanggi_express_brand_info|ugwanggi_express_brand_ugwanggi_pick|ugwanggi_express_users_brand|ugwanggi_partner_team_brand|ugwanggi_tracked_ad
campaign_id,12,campaigns|followers|keywords|temp_ugwanggi_campaign_da|ugwanggi_amore_campaign|ugwanggi_display_ad_campaign|ugwanggi_display_ad_campaign_result|ugwanggi_express_brand_campaign_ugwanggi_pick|ugwanggi_express_brand_campaign_view_state|ugwanggi_express_brand_campaigns_ad_type|ugwanggi_monitoring_campaign|ugwanggi_monitoring_entity
partner_team_id,11,ingwanggi_creator_listup_filters|ingwanggi_partner_creator_bookmark_folder|ugwanggi_creator_listup_filter|ugwanggi_partner_creator_bookmark_folder|ugwanggi_partner_datalab|ugwanggi_partner_team|ugwanggi_partner_team_brand|ugwanggi_partner_team_link|ugwanggi_partner_team_tag|ugwanggi_tracked_ad|ugwanggi_tracked_ad_folder
post_id,10,instagram_brand_matching_track|instagram_hashtag|instagram_oliveyoung_product_post|instagram_post|instagram_post_analysis_llm_log|instagram_post_description|instagram_post_stat_trend|instagram_ppl_brand|instagram_sponsoring_brand|instagram_user_tag
partner_id,8,ingwanggi_partner_creator_bookmark_folder|ugwanggi_partner_creator_bookmark_folder|ugwanggi_partner_datalab|ugwanggi_partner_team|ugwanggi_partners|ugwanggi_tracked_ad|ugwanggi_tracked_ad_folder|users_ugwanggi
adslot_id,8,ugwanggi_express_adslot_email_read_state|ugwanggi_express_adslot_price_view_state|ugwanggi_express_adslot_pricing|ugwanggi_express_adslot_ugwanggi_pick|ugwanggi_express_adslots|ugwanggi_express_chat_room|ugwanggi_express_email_message|ugwanggi_express_request_chat
unique_id,6,YT_product_video|oliveyoung_product_info|temp_ugwanggi_bumper_da|temp_ugwanggi_campaign_da|ugwanggi_display_ad|ugwanggi_display_ad_campaign_result
studio_id,6,ugwanggi_express_adslots|ugwanggi_express_brand_campaign_view_state|ugwanggi_express_studio_channels|ugwanggi_express_studio_info|ugwanggi_express_studio_members|users_ugwanggi
country_code,5,YT_bumper_ad|YT_bumper_crawl_video_list|brand_logo|instagram_user_analysis_v2_layer6_target_country|tiktok_channel
access_id,5,ingwanggi_brand_report_access|ingwanggi_related_account_access|ingwanggi_similar_creator_access|ugwanggi_brand_report_access|ugwanggi_channel_demography_info_access
score_key,5,instagram_user_analysis_v2_layer1_user_type|instagram_user_analysis_v2_layer2_content_function|instagram_user_analysis_v2_layer3_topic|instagram_user_analysis_v2_layer4_mood|instagram_user_analysis_v2_layer5_persona
tracked_ad_folder_id,5,ugwanggi_public_tracked_ad_folder|ugwanggi_tracked_ad|ugwanggi_tracked_ad_folder|ugwanggi_tracked_ad_folder_keyword|ugwanggi_tracked_ad_folder_stat
phone_number,4,appointment|ugwanggi_express_applications|ugwanggi_free_trial_phone|ugwanggi_phone_verification
creator_bookmark_folder_id,4,ingwanggi_partner_creator_bookmark|ingwanggi_partner_creator_bookmark_folder|ugwanggi_partner_creator_bookmark|ugwanggi_partner_creator_bookmark_folder
vt_no,3,YT_brand_video_trend|YT_bumper_video_trend|YT_video_view_trend
comment_id,3,YT_comment|YT_comment_analysis|ugwanggi_tracked_ad_comment
instagram_user_id,3,ingwanggi_partner_creator_bookmark|ingwanggi_related_account_access|ingwanggi_similar_creator_access
created_user_id,3,instagram_creator_ranking_presets|instagram_creator_ranking_presets_admin|instagram_creator_ranking_presets_admin_v2
ad_video_id,3,temp_ugwanggi_bumper_da|temp_ugwanggi_campaign_da|ugwanggi_display_ad
folder_id,3,ugwanggi_brand_saved|ugwanggi_ig_creator_saved|ugwanggi_youtuber_saved
settings_id,3,ugwanggi_custom_coupon|ugwanggi_custom_coupon_settings|ugwanggi_custom_coupon_settings2
room_id,3,ugwanggi_express_chat_message|ugwanggi_express_chat_room|ugwanggi_express_chat_room_member
request_id,3,ugwanggi_express_chat_room|ugwanggi_express_request_messages|ugwanggi_express_request_status
datalab_id,3,ugwanggi_partner_datalab|ugwanggi_partner_datalab_file|ugwanggi_partner_datalab_message
trending_keyword_id,2,YT_ugwanggi_trending_keyword|YT_ugwanggi_trending_keyword_video_ids
creator_listup_filter_id,2,ingwanggi_creator_listup_filters|ugwanggi_creator_listup_filter
creator_bookmark_id,2,ingwanggi_partner_creator_bookmark|ugwanggi_partner_creator_bookmark
category_id,2,naver_weekly_trend_categories|naver_weekly_trend_rank
chat_history_id,2,ugwanggi_ai_blog_video|ugwanggi_ai_chat_history
blog_id,2,ugwanggi_ai_chat_history|ugwanggi_generated_blog
spreadsheet_id,2,ugwanggi_archive_spreadsheet_auth|ugwanggi_archive_spreadsheet_sheet
subscription_id,2,ugwanggi_cancel_survey|ugwanggi_subscription
creator_list_id,2,ugwanggi_creator_camp_list|ugwanggi_creator_listup
custom_channel_id,2,ugwanggi_creator_listup|youtuber_info
payment_number,2,ugwanggi_custom_coupon_settings2|ugwanggi_subscription
display_ad_id,2,ugwanggi_display_ad|ugwanggi_display_ad_campaign_result
requester_user_id,2,ugwanggi_express_adslots|ugwanggi_express_brand_campaigns
recipient_last_read_message_id,2,ugwanggi_express_request_campaign_view|ugwanggi_express_request_chat
sender_user_id,2,ugwanggi_express_request_chat|ugwanggi_express_request_messages
keyword_id,2,ugwanggi_keyword_request_da|ugwanggi_tracked_ad_folder_keyword
entity_id,2,ugwanggi_monitoring_entity|ugwanggi_monitoring_result
datalab_message_id,2,ugwanggi_partner_datalab_file|ugwanggi_partner_datalab_message
