from_app,to_app,weight,sources,imports_count,shared_tables_count,cron_count,import_samples,shared_tables,cron_samples
creators_insights,youtube,51,IMPORTS,17,0,0,creators_insights/utils.py::youtube.utils.CATEGORIES | creators_insights/utils.py::youtube.utils.VIDEO_CATEGORIES | creators_insights/utils.py::youtube.utils.creator_listup_filters,,
express,user,45,IMPORTS,15,0,0,express/consumers.py::user.models.User | express/middlewares.py::user.models.User | express/permissions.py::user.models.User,,
amore,oliveyoung,27,IMPORTS,9,0,0,amore/utils.py::oliveyoung.models.OliveYoungProductVideo | amore/utils.py::oliveyoung.models.OliveYoungVideoList | amore/utils.py::oliveyoung.models.OliveYoungProductInfo,,
instagram,user,27,IMPORTS,9,0,0,instagram/views_ranking_v2.py::user.models.User | instagram/views_ranking_access.py::user.models.User | instagram/utils.py::user.models.LinkedUser,,
express,brand,26,IMPORTS|SHARED_TABLE,8,1,0,express/consumers.py::brand.models.BrandLogo | express/views/studio_channel_views.py::brand.models.Brand | express/views/studio_channel_views.py::brand.models.BrandLogo,brand,
amore,youtube,24,IMPORTS,8,0,0,amore/utils.py::youtube.models.YTUSers | amore/utils.py::youtube.models.YTUsersStat | amore/utils.py::youtube.models.YTVideoLists,,
instagram,ugwanggiAPI,21,IMPORTS,7,0,0,instagram/views_ranking_v2.py::ugwanggiAPI.permissions.IsPremiumInstagram | instagram/views_ranking_v2.py::ugwanggiAPI.permissions.IsTeamInstagram | instagram/views_ranking_access.py::ugwanggiAPI.permissions.IsPremiumInstagram,,
express,youtube,20,IMPORTS|SHARED_TABLE,6,1,0,express/views/studio_channel_views.py::youtube.models.YTUsersStat | express/views/studio_channel_views.py::youtube.models.YTUSers | express/views/ad_slot_views.py::youtube.models.YTUsersStat,youtuber_stats,
partner,youtube,20,IMPORTS|CRON,6,0,1,partner/cron.py::youtube.models.* | partner/cron.py::youtube.utils.YOUTUBE_API_KEYS | partner/serializers.py::youtube.serializers.YTVideoListsWithChannelSerializer,,partner/cron.py::YT_video_lists
user,subscribe,20,IMPORTS|CRON,6,0,1,user/cron.py::subscribe.models.* | user/cron.py::subscribe.utils.giveChannelTicket | user/cron.py::subscribe.utils.giveCredits,,user/cron.py::ugwanggi_subscription
oliveyoung,brand,19,IMPORTS|CRON,5,0,2,oliveyoung/cron.py::brand.models.OliveYoungBrand | oliveyoung/views.py::brand.models.BrandLogo | oliveyoung/views.py::brand.models.OliveYoungBrand,,oliveyoung/cron.py::brand | oliveyoung/cron.py::oliveyoung_brand
search,brand,19,IMPORTS|SHARED_TABLE,5,2,0,search/utils.py::brand.models.Brand | search/utils.py::brand.models.BrandLogo | search/views.py::brand.serializers.BrandSerializer,brand | brand_logo,
ugwanggiAPI,subscribe,19,IMPORTS|CRON,5,0,2,ugwanggiAPI/cron.py::subscribe.models.Subscription | ugwanggiAPI/cron.py::subscribe.models.PaymentHistory | ugwanggiAPI/cron.py::subscribe.serializers.*,,ugwanggiAPI/cron.py::ugwanggi_bundle | ugwanggiAPI/cron.py::ugwanggi_subscription
amore,brand,18,IMPORTS,6,0,0,amore/utils.py::brand.models.Brand | amore/utils.py::brand.models.BrandLogo | amore/views.py::brand.models.Brand,,
trends,youtube,18,IMPORTS,6,0,0,trends/utils.py::youtube.utils.SubscriberAndViewEvolution | trends/views.py::youtube.models.YTUSers | trends/views.py::youtube.models.YTVideoContentClassTrack,,
brand,ads,16,IMPORTS|SHARED_TABLE,4,2,0,brand/views.py::ads.models.BumperAdModel | brand/views.py::ads.models.BrandVideoTrend | brand/views.py::ads.serializers.BumperOnOffSerializer,YT_bumper_ad | YT_bumper_video_trend,
search,youtube,16,IMPORTS|SHARED_TABLE,4,2,0,search/utils.py::youtube.models.* | search/utils.py::youtube.serializers.* | search/views.py::youtube.models.*,YT_video_lists | youtuber_info,
aichat,admin,15,IMPORTS,5,0,0,aichat/utils.py::admin.const.SUBTOPICS_FROM_TOPICS | aichat/utils.py::admin.const.MAIN_TOPICS | aichat/utils.py::admin.const.SUBTOPICS_LIST,,
subscribe,user,15,IMPORTS,5,0,0,subscribe/utils.py::user.models.User | subscribe/utils.py::user.const.CHANNEL_TICKET_DICT | subscribe/utils.py::user.const.AI_CHAT_TICKET_DICT,,
youtube,user,15,IMPORTS,5,0,0,youtube/utils.py::user.models.LinkedUser | youtube/views.py::user.models.User | youtube/views.py::user.models.LinkedUser,,
youtube,ugwanggiAPI,15,IMPORTS,5,0,0,youtube/views.py::ugwanggiAPI.const.YT_API_KEYS | youtube/views.py::ugwanggiAPI.const.SPONSORED_TYPE | youtube/views.py::ugwanggiAPI.permissions.IsAdmin,,
aichat,brand,14,IMPORTS|SHARED_TABLE,4,1,0,aichat/utils.py::brand.serializers.BrandSerializer | aichat/utils.py::brand.models.* | aichat/views.py::brand.models.Brand,brand,
oliveyoung,youtube,14,IMPORTS|CRON,4,0,1,oliveyoung/cron.py::youtube.models.YTUsersStat | oliveyoung/views.py::youtube.models.YTUSers | oliveyoung/views.py::youtube.models.YTVideoFormat,,oliveyoung/cron.py::youtuber_stats
ugwanggiAPI,youtube,14,IMPORTS|SHARED_TABLE|CRON,2,1,3,ugwanggiAPI/cron.py::youtube.models.* | ugwanggiAPI/cron.py::youtube.serializers.*,YT_video_lists,ugwanggiAPI/cron.py::YT_video_crawling_waiting | ugwanggiAPI/cron.py::YT_video_lists | ugwanggiAPI/cron.py::ugwanggi_channel_demography_info_access
archive,youtube,12,IMPORTS,4,0,0,archive/utils.py::youtube.models.YTUSers | archive/utils.py::youtube.models.YTVideoLists | archive/views.py::youtube.models.YTUSers,,
creators_insights,brand,12,IMPORTS,4,0,0,creators_insights/utils.py::brand.models.BrandLogo | creators_insights/views.py::brand.models.Brand | creators_insights/views.py::brand.models.BrandLogo,,
monitoring,ads,12,IMPORTS,4,0,0,monitoring/views.py::ads.models.BumperAdModel | monitoring/views.py::ads.models.BumperVideoTrend | monitoring/views.py::ads.models.BrandVideoTrend,,
instagram_admin,instagram,11,IMPORTS|SHARED_TABLE,1,4,0,instagram_admin/views.py::instagram.models.InstagramPost,instagram_hashtag | instagram_post | instagram_post_description | instagram_post_stat_trend,
preview,youtube,11,IMPORTS|CRON,3,0,1,preview/cron.py::youtube.models.YTVideoContentClassTrack | preview/views.py::youtube.models.YTUSers | preview/views.py::youtube.models.YTVideoContentClassTrack,,preview/cron.py::YT_video_content_class_track
ugwanggiAPI,user,10,IMPORTS|CRON,2,0,2,ugwanggiAPI/cron.py::user.models.* | ugwanggiAPI/permissions.py::user.models.User,,ugwanggiAPI/cron.py::ugwanggi_linked_user | ugwanggiAPI/cron.py::users_ugwanggi
admin,subscribe,9,IMPORTS,3,0,0,admin/views.py::subscribe.models.PaymentHistory | admin/views.py::subscribe.models.Subscription | admin/views.py::subscribe.serializers.SubscriptionSerializer,,
amore,partner,9,IMPORTS,3,0,0,amore/utils.py::partner.const.getChannelSize | amore/views.py::partner.const.getChannelSize,,
brand,user,9,IMPORTS,3,0,0,brand/utils.py::user.models.LinkedUser | brand/views.py::user.models.User | brand/views.py::user.models.LinkedUser,,
kpi,subscribe,9,IMPORTS,3,0,0,kpi/views.py::subscribe.models.Subscription | kpi/views.py::subscribe.models.MRR | kpi/views.py::subscribe.models.PaymentHistory,,
partner,subscribe,9,IMPORTS,3,0,0,partner/views.py::subscribe.models.* | partner/views.py::subscribe.utils.giveChannelTicket | partner/views.py::subscribe.utils.giveAITicket,,
partner_admin,partner,9,IMPORTS,3,0,0,partner_admin/views.py::partner.models.* | partner_admin/views.py::partner.serializers.* | partner_admin/views.py::partner.const.*,,
search,ugwanggiAPI,9,IMPORTS,3,0,0,search/views.py::ugwanggiAPI.const.YT_API_KEYS | search/views.py::ugwanggiAPI.permissions.IsPremium | search/views.py::ugwanggiAPI.permissions.IsTeam,,
youtube,brand,9,IMPORTS,3,0,0,youtube/utils.py::brand.models.Brand | youtube/views.py::brand.models.* | youtube/views.py::brand.serializers.*,,
search,ads,8,IMPORTS|SHARED_TABLE,2,1,0,search/utils.py::ads.models.* | search/views.py::ads.serializers.*,YT_bumper_ad,
admin,brand,6,IMPORTS,2,0,0,admin/views.py::brand.models.* | admin/views.py::brand.serializers.*,,
admin,partner,6,IMPORTS,2,0,0,admin/views.py::partner.models.* | admin/views.py::partner.serializers.*,,
ads,ugwanggiAPI,6,IMPORTS,2,0,0,ads/views.py::ugwanggiAPI.permissions.IsAdmin | ads/views.py::ugwanggiAPI.permissions.IsPremium,,
amore,ugwanggiAPI,6,IMPORTS,2,0,0,amore/views.py::ugwanggiAPI.permissions.IsPartner | amore/views.py::ugwanggiAPI.permissions.IsPartnerAdmin,,
archive,brand,6,IMPORTS,2,0,0,archive/utils.py::brand.models.BrandLogo | archive/views.py::brand.models.*,,
archive,ads,6,IMPORTS,2,0,0,archive/utils.py::ads.models.* | archive/views.py::ads.models.*,,
brand,partner,6,IMPORTS,2,0,0,brand/utils.py::partner.models.PartnerTeamLink | brand/views.py::partner.models.Partner,,
creators_insights,user,6,IMPORTS,2,0,0,creators_insights/views.py::user.models.User | creators_insights/views.py::user.models.LinkedUser,,
instagram,partner,6,IMPORTS,2,0,0,instagram/utils.py::partner.models.Partner | instagram/views.py::partner.models.*,,
instagram,partner_instagram,6,IMPORTS,2,0,0,instagram/views.py::partner_instagram.models.PartnerInstagramCreatorBookmark,,
keywords,ugwanggiAPI,6,IMPORTS,2,0,0,keywords/views.py::ugwanggiAPI.permissions.IsPartner | keywords/views.py::ugwanggiAPI.permissions.IsPremium,,
monitoring,brand,6,IMPORTS,2,0,0,monitoring/views.py::brand.models.BrandLogo | monitoring/views.py::brand.models.Brand,,
monitoring,youtube,6,IMPORTS,2,0,0,monitoring/views.py::youtube.models.* | monitoring/views.py::youtube.serializers.YTUserSerializer,,
partner,user,6,IMPORTS,2,0,0,partner/views.py::user.models.* | partner/views.py::user.serializers.*,,
partner,ugwanggiAPI,6,IMPORTS,2,0,0,partner/views.py::ugwanggiAPI.permissions.IsPartner | partner/views.py::ugwanggiAPI.permissions.IsPartnerAdmin,,
partner_admin,user,6,IMPORTS,2,0,0,partner_admin/views.py::user.models.* | partner_admin/views.py::user.serializers.*,,
partner_admin,youtube,6,IMPORTS,2,0,0,partner_admin/views.py::youtube.models.* | partner_admin/views.py::youtube.serializers.*,,
partner_instagram,partner,6,IMPORTS,2,0,0,partner_instagram/views.py::partner.models.PartnerTeamLink | partner_instagram/views.py::partner.models.PartnerTeam,,
partner_instagram,instagram,6,IMPORTS,2,0,0,partner_instagram/views.py::instagram.models.* | partner_instagram/views.py::instagram.es_service.InstagramCreatorSearchServiceV2,,
preview,express,6,IMPORTS,2,0,0,preview/views.py::express.models.UgwanggiExpressAdslots | preview/views.py::express.utils.get_channel_category,,
preview,brand,6,IMPORTS,2,0,0,preview/views.py::brand.models.Brand | preview/views.py::brand.models.BrandLogo,,
trends,brand,6,IMPORTS,2,0,0,trends/views.py::brand.models.Brand | trends/views.py::brand.models.BrandLogo,,
ugwanggiAPI,ads,6,IMPORTS,2,0,0,ugwanggiAPI/cron.py::ads.models.* | ugwanggiAPI/cron.py::ads.serializers.*,,
ugwanggiAPI,express,6,IMPORTS,2,0,0,ugwanggiAPI/asgi.py::express.middlewares.CustomJWTAuthMiddleware | ugwanggiAPI/asgi.py::express.routing,,
user,partner,6,IMPORTS,2,0,0,user/cron.py::partner.models.* | user/views.py::partner.models.*,,
user,express,6,IMPORTS,2,0,0,user/cron.py::express.models.UgwanggiExpressUsersBrand | user/cron.py::express.models.UgwanggiExpressTicketRefresh,,
user,ugwanggiAPI,6,IMPORTS,2,0,0,user/views.py::ugwanggiAPI.permissions.IsAdmin | user/views.py::ugwanggiAPI.const.STARTING_DATE_REGULARITY_CHECK,,
youtube,partner,6,IMPORTS,2,0,0,youtube/utils.py::partner.models.PartnerTeamLink | youtube/views.py::partner.models.Partner,,
youtube,search,6,IMPORTS,2,0,0,youtube/views.py::search.const.SERVER_LIST | youtube/views.py::search.models.*,,
ads,brand,5,IMPORTS|SHARED_TABLE,1,1,0,ads/views.py::brand.models.BrandLogo,brand_logo,
instagram,brand,5,IMPORTS|SHARED_TABLE,1,1,0,instagram/views.py::brand.models.BrandLogo,brand_logo,
instagram_admin,brand,5,IMPORTS|SHARED_TABLE,1,1,0,instagram_admin/views.py::brand.models.BrandLogo,brand_logo,
ugwanggiAPI,brand,5,IMPORTS|CRON,1,0,1,ugwanggiAPI/cron.py::brand.models.*,,ugwanggiAPI/cron.py::brand
ugwanggiAPI,partner,5,IMPORTS|CRON,1,0,1,ugwanggiAPI/cron.py::partner.models.*,,ugwanggiAPI/cron.py::ugwanggi_partners
ugwanggiAPI,instagram,5,IMPORTS|CRON,1,0,1,ugwanggiAPI/cron.py::instagram.models.SimilarCreatorAccess,,ugwanggiAPI/cron.py::ingwanggi_similar_creator_access
admin,youtube,3,IMPORTS,1,0,0,admin/views.py::youtube.models.*,,
admin,ads,3,IMPORTS,1,0,0,admin/views.py::ads.models.*,,
admin,user,3,IMPORTS,1,0,0,admin/views.py::user.models.*,,
admin,ugwanggiAPI,3,IMPORTS,1,0,0,admin/views.py::ugwanggiAPI.permissions.IsAdmin,,
ads,search,3,IMPORTS,1,0,0,ads/views.py::search.utils.countryCodeToKoreanCountry,,
ads,user,3,IMPORTS,1,0,0,ads/views.py::user.models.*,,
aichat,search,3,IMPORTS,1,0,0,aichat/views.py::search.models.*,,
aichat,user,3,IMPORTS,1,0,0,aichat/views.py::user.models.*,,
aichat,ugwanggiAPI,3,IMPORTS,1,0,0,aichat/views.py::ugwanggiAPI.permissions.IsPremium,,
aichat,youtube,3,IMPORTS,1,0,0,aichat/views.py::youtube.models.YTVideoLists,,
aitools,ugwanggiAPI,3,IMPORTS,1,0,0,aitools/views.py::ugwanggiAPI.permissions.IsPremium,,
amore,user,3,IMPORTS,1,0,0,amore/views.py::user.models.User,,
archive,user,3,IMPORTS,1,0,0,archive/views.py::user.models.*,,
brand,youtube,3,IMPORTS,1,0,0,brand/views.py::youtube.models.*,,
brand,instagram,3,IMPORTS,1,0,0,brand/views.py::instagram.models.*,,
brand,search,3,IMPORTS,1,0,0,brand/views.py::search.utils.countryCodeToKoreanCountry,,
brand,ugwanggiAPI,3,IMPORTS,1,0,0,brand/views.py::ugwanggiAPI.permissions.*,,
creators_insights,ugwanggiAPI,3,IMPORTS,1,0,0,creators_insights/views.py::ugwanggiAPI.permissions.IsPremium,,
creators_insights,partner,3,IMPORTS,1,0,0,creators_insights/views.py::partner.models.Partner,,
express,oliveyoung,3,IMPORTS,1,0,0,express/views/studio_channel_views.py::oliveyoung.models.OliveYoungVideoList,,
instagram,youtube,3,IMPORTS,1,0,0,instagram/views.py::youtube.models.SavedFolder,,
instagram_admin,ugwanggiAPI,3,IMPORTS,1,0,0,instagram_admin/views.py::ugwanggiAPI.permissions.IsAdmin,,
kpi,user,3,IMPORTS,1,0,0,kpi/views.py::user.models.User,,
kpi,ugwanggiAPI,3,IMPORTS,1,0,0,kpi/views.py::ugwanggiAPI.permissions.IsAdmin,,
monitoring,user,3,IMPORTS,1,0,0,monitoring/views.py::user.models.*,,
monitoring,ugwanggiAPI,3,IMPORTS,1,0,0,monitoring/views.py::ugwanggiAPI.const.*,,
oliveyoung,ugwanggiAPI,3,IMPORTS,1,0,0,oliveyoung/views.py::ugwanggiAPI.permissions.*,,
oliveyoung,instagram,3,IMPORTS,1,0,0,oliveyoung/views.py::instagram.models.*,,
partner,brand,3,IMPORTS,1,0,0,partner/views.py::brand.models.*,,
partner_admin,subscribe,3,IMPORTS,1,0,0,partner_admin/views.py::subscribe.models.*,,
partner_admin,brand,3,IMPORTS,1,0,0,partner_admin/views.py::brand.models.*,,
partner_admin,ugwanggiAPI,3,IMPORTS,1,0,0,partner_admin/views.py::ugwanggiAPI.permissions.IsPartnerAdmin,,
partner_instagram,ugwanggiAPI,3,IMPORTS,1,0,0,partner_instagram/views.py::ugwanggiAPI.permissions.*,,
partner_instagram,user,3,IMPORTS,1,0,0,partner_instagram/views.py::user.models.User,,
preview,trends,3,IMPORTS,1,0,0,preview/views.py::trends.models.YTRisingStar,,
preview,ads,3,IMPORTS,1,0,0,preview/views.py::ads.models.BumperAdModel,,
search,user,3,IMPORTS,1,0,0,search/views.py::user.models.*,,
search,instagram,3,IMPORTS,1,0,0,search/views.py::instagram.models.InstagramUser,,
subscribe,partner,3,IMPORTS,1,0,0,subscribe/views.py::partner.models.*,,
subscribe,ugwanggiAPI,3,IMPORTS,1,0,0,subscribe/views.py::ugwanggiAPI.permissions.IsAdmin,,
survey,user,3,IMPORTS,1,0,0,survey/views.py::user.models.User,,
trends,user,3,IMPORTS,1,0,0,trends/views.py::user.models.User,,
trends,ugwanggiAPI,3,IMPORTS,1,0,0,trends/views.py::ugwanggiAPI.permissions.IsPremium,,
user,survey,3,IMPORTS,1,0,0,user/views.py::survey.models.*,,
youtube,instagram,3,IMPORTS,1,0,0,youtube/views.py::instagram.models.InstagramCreatorSaved,,
youtube,youtube_shopping,3,IMPORTS,1,0,0,youtube/views.py::youtube_shopping.models.*,,
youtube_shopping,ugwanggiAPI,3,IMPORTS,1,0,0,youtube_shopping/views.py::ugwanggiAPI.permissions.IsAdmin,,
youtube_shopping,youtube,3,IMPORTS,1,0,0,youtube_shopping/views.py::youtube.models.*,,
