table,usage,confidence,direct_hits,indirect_hits,mention_hits,sample_files,usage_refined,confidence_refined,note
temp_ugwanggi_keywords_search,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
temp_ugwanggi_keywords_text,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
temp_youtuber_info,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
temp_youtuber_info_stat,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
temp_youtuber_stats,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
test_kakao_video_monitoring,DIRECT,HIGH,1,0,1,aichat/models.py,DIRECT,HIGH,
test_kakao_video_topic,DIRECT,HIGH,1,0,1,aichat/models.py,DIRECT,HIGH,
tiktok_channel,DIRECT,HIGH,1,0,1,tiktok/models.py,DIRECT,HIGH,
tiktok_channel_stat,DIRECT,HIGH,1,0,1,tiktok/models.py,DIRECT,HIGH,
tiktok_video,DIRECT,HIGH,1,0,1,tiktok/models.py,DIRECT,HIGH,
tiktok_video_stat,DIRECT,HIGH,1,0,1,tiktok/models.py,DIRECT,HIGH,
tracked_ad_comment_yt_queries,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_action_tracker,DIRECT,HIGH,1,0,1,user/models.py,DIRECT,HIGH,
ugwanggi_ai_blog_video,DIRECT,HIGH,1,0,1,aichat/models.py,DIRECT,HIGH,
ugwanggi_ai_chat_history,DIRECT,HIGH,1,0,1,aichat/models.py,DIRECT,HIGH,
ugwanggi_ai_image_history,DIRECT,HIGH,1,0,1,aichat/models.py,DIRECT,HIGH,
ugwanggi_ai_survey,DIRECT,HIGH,1,0,1,survey/models.py,DIRECT,HIGH,
ugwanggi_amore_campaign,DIRECT,HIGH,1,0,1,amore/models.py,DIRECT,HIGH,
ugwanggi_archive,DIRECT,HIGH,1,0,1,archive/models.py,DIRECT,HIGH,
ugwanggi_archive_group,DIRECT,HIGH,1,0,1,archive/models.py,DIRECT,HIGH,
ugwanggi_archive_spreadsheet_auth,DIRECT,HIGH,1,0,1,archive/models.py,DIRECT,HIGH,
ugwanggi_archive_spreadsheet_sheet,DIRECT,HIGH,1,0,1,archive/models.py,DIRECT,HIGH,
ugwanggi_brand_report_access,DIRECT,HIGH,1,0,1,brand/models.py,DIRECT,HIGH,
ugwanggi_brand_saved,DIRECT,HIGH,1,0,1,brand/models.py,DIRECT,HIGH,
ugwanggi_bundle,DIRECT,HIGH,1,0,1,subscribe/models.py,DIRECT,HIGH,
ugwanggi_cancel_survey,DIRECT,HIGH,1,0,1,subscribe/models.py,DIRECT,HIGH,
ugwanggi_channel_demography_info_access,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
ugwanggi_channel_network,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_channel_survey,DIRECT,HIGH,1,0,1,survey/models.py,DIRECT,HIGH,
ugwanggi_clipping_campaign,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_clipping_video,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_contact_us,DIRECT,HIGH,1,0,1,survey/models.py,DIRECT,HIGH,
ugwanggi_creator_camp_list,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
ugwanggi_creator_listup,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
ugwanggi_creator_listup_ai_chat,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
ugwanggi_creator_listup_filter,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_custom_coupon,DIRECT,HIGH,1,0,1,subscribe/models.py,DIRECT,HIGH,
ugwanggi_custom_coupon_settings,DIRECT,HIGH,1,0,1,subscribe/models.py,DIRECT,HIGH,
ugwanggi_custom_coupon_settings2,DIRECT,HIGH,1,0,1,subscribe/models.py,DIRECT,HIGH,
ugwanggi_custom_discount_coupon,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_custom_payment,DIRECT,HIGH,1,0,1,subscribe/models.py,DIRECT,HIGH,
ugwanggi_datalab_admin_memo,DIRECT,HIGH,1,0,1,admin/models.py,DIRECT,HIGH,
ugwanggi_delete_survey,DIRECT,HIGH,1,0,1,user/models.py,DIRECT,HIGH,
ugwanggi_display_ad,DIRECT,HIGH,1,0,1,ads/models.py,DIRECT,HIGH,
ugwanggi_display_ad_campaign,DIRECT,HIGH,1,0,1,ads/models.py,DIRECT,HIGH,
ugwanggi_display_ad_campaign_result,DIRECT,HIGH,1,0,1,ads/models.py,DIRECT,HIGH,
ugwanggi_docs_history,DIRECT,HIGH,1,0,1,archive/models.py,DIRECT,HIGH,
ugwanggi_express_adslot_cc_emails,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_express_adslot_email_read_state,DIRECT,HIGH,1,0,1,express/models/base.py,DIRECT,HIGH,
ugwanggi_express_adslot_price_view_state,DIRECT,HIGH,1,0,1,express/models/base.py,DIRECT,HIGH,
ugwanggi_express_adslot_pricing,DIRECT,HIGH,1,0,2,express/models/base.py | express/schemas/ad_slot_schemas.py,DIRECT,HIGH,
ugwanggi_express_adslot_ugwanggi_pick,DIRECT,HIGH,1,0,1,express/models/base.py,DIRECT,HIGH,
ugwanggi_express_adslot_user_added_channels,DIRECT,HIGH,1,0,1,express/models/base.py,DIRECT,HIGH,
ugwanggi_express_adslots,DIRECT,HIGH,7,0,25,express/models/base.py | express/views/ad_slot_views.py,DIRECT,HIGH,
ugwanggi_express_applications,DIRECT,HIGH,1,0,1,express/models/base.py,DIRECT,HIGH,
ugwanggi_express_applications_admin_check,DIRECT,HIGH,1,0,1,express/models/base.py,DIRECT,HIGH,
ugwanggi_express_brand_campaign_target_demographics,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_express_brand_campaign_ugwanggi_pick,DIRECT,HIGH,1,0,1,express/models/brand_campaign.py,DIRECT,HIGH,
ugwanggi_express_brand_campaign_view_state,DIRECT,HIGH,1,0,3,express/models/brand_campaign.py | express/schemas/brand_campaign_schemas.py,DIRECT,HIGH,
ugwanggi_express_brand_campaigns,DIRECT,HIGH,1,0,3,express/models/brand_campaign.py | express/schemas/brand_campaign_schemas.py,DIRECT,HIGH,
ugwanggi_express_brand_campaigns_ad_type,DIRECT,HIGH,1,0,1,express/models/brand_campaign.py,DIRECT,HIGH,
ugwanggi_express_brand_info,DIRECT,HIGH,1,0,12,express/models/brand_campaign.py | express/schemas/brand_campaign_schemas.py | express/views/brand_campaign_request_views.py,DIRECT,HIGH,
ugwanggi_express_brand_ugwanggi_pick,DIRECT,HIGH,1,0,1,express/models/brand_campaign.py,DIRECT,HIGH,
ugwanggi_express_chat_file_upload_quota,DIRECT,HIGH,1,0,1,express/models/realtime.py,DIRECT,HIGH,
ugwanggi_express_chat_message,DIRECT,HIGH,1,0,1,express/models/realtime.py,DIRECT,HIGH,
ugwanggi_express_chat_room,DIRECT,HIGH,1,0,1,express/models/realtime.py,DIRECT,HIGH,
ugwanggi_express_chat_room_member,DIRECT,HIGH,1,0,1,express/models/realtime.py,DIRECT,HIGH,
ugwanggi_express_email_message,DIRECT,HIGH,1,0,1,express/models/base.py,DIRECT,HIGH,
ugwanggi_express_email_message_admin_check,DIRECT,HIGH,1,0,1,express/models/base.py,DIRECT,HIGH,
ugwanggi_express_email_notification_log,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_express_email_template,DIRECT,HIGH,1,0,1,express/models/base.py,DIRECT,HIGH,
ugwanggi_express_oauth_state_session,DIRECT,HIGH,1,0,1,express/models/base.py,DIRECT,HIGH,
ugwanggi_express_oauth_token,DIRECT,HIGH,1,0,1,express/models/base.py,DIRECT,HIGH,
ugwanggi_express_request_campaign_view,DIRECT,HIGH,1,0,1,express/models/brand_campaign.py,DIRECT,HIGH,
ugwanggi_express_request_chat,DIRECT,HIGH,1,0,1,express/models/brand_campaign.py,DIRECT,HIGH,
ugwanggi_express_request_messages,DIRECT,HIGH,1,0,1,express/models/brand_campaign.py,DIRECT,HIGH,
ugwanggi_express_request_status,DIRECT,HIGH,1,0,1,express/models/brand_campaign.py,DIRECT,HIGH,
ugwanggi_express_studio_channels,DIRECT,HIGH,1,0,1,express/models/base.py,DIRECT,HIGH,
ugwanggi_express_studio_info,DIRECT,HIGH,1,0,4,express/models/base.py | express/schemas/brand_campaign_schemas.py | express/views/brand_campaign_request_views.py,DIRECT,HIGH,
ugwanggi_express_studio_members,DIRECT,HIGH,1,0,2,express/models/base.py | express/schemas/brand_campaign_schemas.py,DIRECT,HIGH,
ugwanggi_express_ticket_paid,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_express_ticket_refresh,DIRECT,HIGH,1,0,1,express/models/base.py,DIRECT,HIGH,
ugwanggi_express_users_brand,DIRECT,HIGH,2,0,14,express/models/base.py | express/schemas/brand_campaign_schemas.py | express/views/brand_campaign_request_views.py,DIRECT,HIGH,
ugwanggi_free_trial_phone,DIRECT,HIGH,1,0,1,subscribe/models.py,DIRECT,HIGH,
ugwanggi_generated_blog,DIRECT,HIGH,1,0,1,aichat/models.py,DIRECT,HIGH,
ugwanggi_ig_creator_saved,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
ugwanggi_ingwanggi_waitlist,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_inquiry,DIRECT,HIGH,1,0,1,admin/models.py,DIRECT,HIGH,
ugwanggi_instagram_creator_similar_data_access,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_instagram_hashtag_result,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_instagram_hashtag_search,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_kakao_analysis,DIRECT,HIGH,1,0,1,aichat/models.py,DIRECT,HIGH,
ugwanggi_kakao_video_split,DIRECT,HIGH,1,0,1,aichat/models.py,DIRECT,HIGH,
ugwanggi_keyword_chat_history,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_keyword_request_da,DIRECT,HIGH,1,0,1,ads/models.py,DIRECT,HIGH,
ugwanggi_keywords_bench,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_keywords_comp,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_keywords_history,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_keywords_interest,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_keywords_result,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_keywords_search,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_keywords_text,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_linked_user,DIRECT,HIGH,1,0,1,user/models.py,DIRECT,HIGH,
ugwanggi_meta_ads,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_meta_ads_keywords,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_monitoring_campaign,DIRECT,HIGH,1,0,1,monitoring/models.py,DIRECT,HIGH,
ugwanggi_monitoring_entity,DIRECT,HIGH,1,0,1,monitoring/models.py,DIRECT,HIGH,
ugwanggi_monitoring_ppl,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_monitoring_result,DIRECT,HIGH,1,0,1,monitoring/models.py,DIRECT,HIGH,
ugwanggi_mrr,DIRECT,HIGH,1,0,1,subscribe/models.py,DIRECT,HIGH,
ugwanggi_page_usage_duration,DIRECT,HIGH,1,0,1,user/models.py,DIRECT,HIGH,
ugwanggi_partner_creator_bookmark,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_partner_creator_bookmark_folder,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_partner_datalab,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_partner_datalab_file,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_partner_datalab_message,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_partner_team,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_partner_team_brand,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_partner_team_link,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_partner_team_tag,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_partners,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_payment_card,DIRECT,HIGH,1,0,1,subscribe/models.py,DIRECT,HIGH,
ugwanggi_payment_history,DIRECT,HIGH,1,0,1,subscribe/models.py,DIRECT,HIGH,
ugwanggi_phone_verification,DIRECT,HIGH,1,0,1,user/models.py,DIRECT,HIGH,
ugwanggi_pricing_survey,DIRECT,HIGH,1,0,1,survey/models.py,DIRECT,HIGH,
ugwanggi_public_tracked_ad_folder,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_related_keywords,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_report_history,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
ugwanggi_search_history,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_server_used,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_subscription,DIRECT,HIGH,1,0,1,subscribe/models.py,DIRECT,HIGH,
ugwanggi_survey,DIRECT,HIGH,1,0,1,survey/models.py,DIRECT,HIGH,
ugwanggi_tiktok_search_history,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_tracked_ad,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_tracked_ad_comment,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_tracked_ad_folder,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_tracked_ad_folder_keyword,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_tracked_ad_folder_stat,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_tracked_ad_stat,DIRECT,HIGH,1,0,1,partner/models.py,DIRECT,HIGH,
ugwanggi_trial_survey,DIRECT,HIGH,1,0,1,survey/models.py,DIRECT,HIGH,
ugwanggi_user_creator_db_request,DIRECT,HIGH,1,0,1,user/models.py,DIRECT,HIGH,
ugwanggi_user_metrics_status,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ugwanggi_user_search_history,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_youtube_searched_channel,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_youtube_searched_video,DIRECT,HIGH,1,0,1,search/models.py,DIRECT,HIGH,
ugwanggi_youtuber_saved,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
used_group_keywords,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
used_keywords,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
users,AMBIGUOUS,LOW,0,0,154,ads/system.txt | ads/system-bumper.txt | creators_insights/filter_pipeline.py,DIRECT,MED,AMBIGUOUS→DIRECT via 58 DB-context hits
users_crooki,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
users_hifen,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
users_ugwanggi,DIRECT,HIGH,1,0,25,express/schemas/user_schemas.py | express/schemas/ad_slot_schemas.py | express/schemas/brand_campaign_schemas.py,DIRECT,HIGH,
users_ugwanggi_old,UNUSED,HIGH,0,0,0,,ARCHIVE_SUFFIX,HIGH,name suffix indicates archive/backup/test
utube_video_info,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
utuber_info,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
utuser_subscriber_views_last30days,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
video_comments,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
video_state,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
video_title,AMBIGUOUS,LOW,0,0,39,archive/views.py | express/views/studio_channel_views.py | oliveyoung/views.py,DIRECT,MED,AMBIGUOUS→DIRECT via 6 DB-context hits
videoamigo_monthly_views,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
videoamigo_subscribers_evolution,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
views_trend,AMBIGUOUS,LOW,0,0,5,amore/views.py,DIRECT,MED,AMBIGUOUS→DIRECT via 1 DB-context hits
youtube_video_ads_yn,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
youtube_video_comment_info,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
youtube_video_info,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
youtuber_category_class,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
youtuber_category_class_251031,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
youtuber_category_class_260119,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
youtuber_category_class_test_250807,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
youtuber_info,DIRECT,HIGH,5,5,36,express/serializers.py | express/views/ad_slot_views.py | youtube/models.py,DIRECT,HIGH,
youtuber_info_F_level,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
youtuber_info_biz,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
youtuber_info_copy0416,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
youtuber_info_global,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
youtuber_info_summary,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
youtuber_stats,DIRECT,HIGH,1,6,39,express/serializers.py | express/utils.py | express/views/ad_slot_views.py,DIRECT,HIGH,
yt_channel_state,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ytuser_analysis,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
ytuser_saved_analysis,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
